name,age,mer,mer_type,mer_age,insurancecompany,policynumber,deathbenefit,productname,client,gmbh_num,change_owner_sent_date,aniversarydate,premiumadvancedate,max_anni_review_date,last_coi_date,date_addl_prem_due,calc_method,product_carrier_take_coi_age,date_addl_prem_paid,date_carrier_confirmed_premium,annualstatementdate,view_policy_value_stmt_req_latest_annual_stmt.request_sent_by,view_policy_value_stmt_req_latest_annual_stmt.date_received,view_policy_value_stmt_req_latest_policy_values.request_sent_by,view_policy_value_stmt_req_latest_policy_values.date_received,rerequest,request_made_by,request_sent_via,fpdate,reason,illustration_rec,view_illustration_latest_scenario1_service.illustration_issue,view_illustration_latest_scenario1_service.filetime,product_carrier_will_run_minpa,view_illustration_latest_select_scenarios_2.illustration run date,view_illustration_latest_select_scenarios_2.illustration_issue,min pay illustration age,view_illustration_latest_other.illustration run date,view_illustration_latest_other.illustration_issue,other illustration age,date_of_death,kbc_decision,date_request_made,request_sent_to,date_submitted_carrier,view_policy_value_stmt_req_latest_voc.request_sent_by,view_policy_value_stmt_req_latest_voc.most_recent_received,view_policy_value_stmt_req_latest_voc.complete_flag,coll_rel_agrmnt_date,viewlatest_rate_increase_notification.correspondence_type,date_recvd,effective_date,gender,dob,issueage,sub_tracking_ssn_d,ssn_issue,mpic_provider,mpic_effectivedate,stateofissue,policy_type,product_type,death_benefit_type,note_purchaser,endorsee,policiesid,program,view_policy_consolidated.provider,ilittrustee,loanagreementdate,view_policy_value_stmt_req_latest_policy_values.complete_flag,request_made,view_policy_value_stmt_req_latest_policy_values.most_recent_received,strike_price_paid,adj_strike_price_check,original_strike_price_check,rerequest_check,age_of_illustration,ltr_22_month_response,confirmed_lapse_date,rate_increase,new_owner_name,request_type,view_policy_lonsdale_status_latest.status,payoff_date_service,purchaser,view_best_purchaser_offer_accepted.provider,owner,policies.status,cv,csv,monthly_ga,annual_ga,shaow_acct,coi_estimated,view_policy_value_stmt_req_latest_annual_stmt.most_recent_submitted_carrier,view_policy_value_stmt_req_latest_policy_values.most_recent_submitted_carrier,view_policy_performance_latest.filetime,view_latest_rate_change_notification.correspondence_type,date request sent to carrier,view_illustration_latest_select_scenarios.illustration run date,ssn,mer_need_sep_req,rop,total_death_benefit,db_change,partial_surrender_amount,nullnumberforcrystal,illustration open
"Lee, Stan",94.91,NULL,NULL,NULL,Lincoln,,12500000.00,UL DB,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Male,1922-12-28 08:00:00.000,0,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,Q6UJ9A001JFI,14,Seaboard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,082141896,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Salomon, Dominador",92.14,NULL,NULL,NULL,Sun Life,020109771MCC,5000000.00,Protector Plus,,NULL,NULL,2005-08-08 07:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Male,1925-10-05 07:00:00.000,0,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,Q6UJ9A001KZT,0,MCC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,213377989,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jakobson, John",87.5,NULL,NULL,NULL,ING,,10000000.00,Protector Plus,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017-04-07 17:53:05.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Male,1930-05-27 07:00:00.000,76,NULL,NULL,NULL,NULL,WI,NULL,NULL,NULL,NULL,NULL,Q6UJ9A001OVC,1,Lonsdale,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110242505,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Levin, Louis",92.11,NULL,NULL,NULL,Phoenix,97519072,6500000.00,PAUL III,,NULL,NULL,2006-11-22 00:09:53.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Male,1925-10-16 07:00:00.000,81,NULL,NULL,NULL,NULL,WI,NULL,NULL,NULL,NULL,NULL,Q6UJ9A0035I8,6,Lonsdale,"Brouner, J. Frederic",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,300161708,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jakobson, John",87.5,NULL,NULL,NULL,Principal,NULL,2000000.00,UL03,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017-04-07 17:53:05.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Male,1930-05-27 07:00:00.000,76,NULL,NULL,NULL,NULL,WI,NULL,NULL,NULL,NULL,NULL,Q6UJ9A0035KU,1,Lonsdale,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110242505,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Alcorn, Sally S.",85.4,NULL,NULL,NULL,AXA,NULL,5000000.00,Athena Universal Life II,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Female,1932-07-01 07:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Q6UJ9A00365H,1,Lonsdale,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,464466825,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Alexander, Freida",91.13,NULL,NULL,NULL,JP,NULL,5000000.00,Legend Plus,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Female,1926-10-09 07:00:00.000,80,NULL,NULL,NULL,NULL,CA,NULL,NULL,NULL,NULL,NULL,Q6UJ9A0036NE,9,Oceanus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,576207177,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aloisio, Victor",85.55,NULL,NULL,NULL,AXA,157206161,3000000.00,Athena UL II,,NULL,NULL,2006-11-06 08:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Male,1932-05-08 07:00:00.000,74,NULL,NULL,NULL,NULL,WI,NULL,NULL,NULL,NULL,NULL,Q6UJ9A0036LY,1,Lonsdale,"Brouner, J. Frederic",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Pacifica,Loan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,109241902,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Rosenzweig, Saul",92.31,NULL,NULL,NULL,AXA,NULL,5000000.00,Athena UL II,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Male,1925-08-03 07:00:00.000,81,NULL,NULL,NULL,NULL,WI,NULL,NULL,NULL,NULL,NULL,Q6UJ9A0036UZ,1,Lonsdale,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,267407673,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Davis, Robert G.",80.66,NULL,NULL,NULL,Phoenix,NULL,5000000.00,PAUL III,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Male,1937-03-29 08:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Q6UJ9A0036VH,4,Lonsdale,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,472383945,NULL,NULL,NULL,NULL,NULL,NULL,NULL
